X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.1889804083056,39.930968094157,390,George A Vare Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1830158424265,39.9358636439708,391,Wharton Square,2_5_YEARS,2014/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1867896061289,39.925681865141,392,Thomas B Smith Recreation Center,2_5_YEARS,2018/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1738839404699,39.9378798880516,393,Charles H Chew Sr Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1702434227739,39.9289835150054,394,A Guiseppe DiSilvestro Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.172719387889,39.9233775207807,395,Thomas I Guerin Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.178735191968,39.9155999429208,396,Commodore John Barry Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1725242220771,39.9164307794603,397,Marconi Plaza,2_5_YEARS,1970/01/01 00:00:00+00,On the Northwest Side,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1708264982718,39.9143779761033,398,Marconi Plaza,2_5_YEARS,1970/01/01 00:00:00+00,On the Southeast Side,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1640683851693,39.9334369117923,399,Columbus Square,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1591131590372,39.9342096198691,400,Dr Nicola Capitolo Playground,2_5_YEARS,2019/04/01 00:00:00+00,,"Pictometry 2020; Capital Drawings (2019)"
-75.1573296288391,39.922921412565,401,James Otis Ford Playground,UNKNOWN,2016/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017"
-75.1537976067406,39.9155048020764,402,Lawrence E Murphy Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1564829521603,39.9192944062435,403,Mifflin Square,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1508151287758,39.920844689128,404,Reverend Edward P Burke Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1516742180778,39.9278388052624,405,John Dickinson Square,2_5_YEARS,1970/01/01 00:00:00+00,,"Google Street View 2018, Pictometry 2020"
-75.1486489935198,39.9306977654552,406,Nelson M Herron Playground and Recreation Center,UNKNOWN,1970/01/01 00:00:00+00,,"Google Street View 2018, Playground Equipment 2017"
-75.1458800453676,39.9347192141851,407,Shot Tower Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1505970208255,39.9379356227012,408,Weccacoe Square,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
