X,Y,OBJECTID,BLOCK_NAME,ZIP_CODE,YEAR,COMMENTS,DATA_SOURCE
-75.2431921969848,39.9630795611971,280,0 Block of N DEWEY ST,19139,2020,0-99 Street Range,2020 Playstreets Program
-75.1370132623992,39.9956173143235,281,2900 Block of N ORIANNA ST,19133,2020,,2020 Playstreets Program
-75.2058239606314,39.9594744122325,282,300 Block of N HOLLY ST,19104,2020,,2020 Playstreets Program
-75.2003214744334,39.9721013171654,283,3800 Block of PENNSGROVE ST,19104,2020,,2020 Playstreets Program
-75.2029075025196,39.9695595786111,284,3900 Block of OGDEN ST,19104,2020,,2020 Playstreets Program
-75.2094786973849,39.9688326871949,285,4200 Block of OGDEN ST,19104,2020,,2020 Playstreets Program
-75.2031100613251,39.9622095696096,286,4000 Block of GREEN ST,19104,2020,,2020 Playstreets Program
-75.1464570792824,40.064766663854,287,1800 Block of ELSTON ST,19126,2020,,2020 Playstreets Program
-75.2298493862921,39.9717777211635,288,1200 Block of N CONESTOGA ST,19131,2020,,2020 Playstreets Program
-75.1780250579753,39.9945666512763,289,2500 Block of N NEWKIRK ST,19132,2020,,2020 Playstreets Program
-75.1497535582299,39.9909267406552,290,2600 Block of N 11TH ST,19133,2020,,2020 Playstreets Program
-75.1454576846036,39.9934799980544,291,2600 Block of N DARIEN ST,19133,2020,,2020 Playstreets Program
-75.117828869618,39.9976758748395,292,600 Block of E HILTON ST,19134,2020,,2020 Playstreets Program
-75.0338348451475,40.0423959858724,293,3400 Block of LANSING ST,19136,2020,,2020 Playstreets Program
-75.0360097117473,40.036461166614,294,4200 Block of LORING ST,19136,2020,,2020 Playstreets Program
-75.1600842180501,40.0532910568996,295,5800 Block of BRUSH RD,19138,2020,,2020 Playstreets Program
-75.1652152486584,40.0470244026647,296,800 Block of E PRICE ST,19138,2020,,2020 Playstreets Program
-75.2363671949086,39.9602504681674,297,0 Block of S CECIL ST,19139,2020,0-99 Street Range,2020 Playstreets Program
-75.1344569121223,40.0019768601684,298,200 Block of W THAYER ST,19140,2020,,2020 Playstreets Program
-75.1578702017645,40.0125204980156,299,3800 Block of N GRATZ ST,19140,2020,,2020 Playstreets Program
-75.1386260694267,40.019434095056,300,4400 Block of N FRANKLIN ST,19140,2020,,2020 Playstreets Program
